rank,channel_index,probability,true_label
231,232,0.8398242501253134,0
232,769,0.8397011515454533,0
233,15888,0.8396144232637969,0
234,3905,0.8382832187417681,0
235,13337,0.8382049602844133,1
236,6554,0.8381221175066843,1
237,16476,0.8381039963530048,0
238,14225,0.837937396736749,0
239,3598,0.8364740078990762,1
240,16689,0.8352620353195462,0
241,14533,0.834754172305489,0
242,8548,0.8347453171236713,0
243,5521,0.8331621697868622,0
244,9621,0.8330994361547693,0
245,3183,0.8328031601646777,0
246,8324,0.832229421471759,0
247,16059,0.831101449402047,1
248,12991,0.8306867190560476,1
249,13495,0.8306400942541374,0
250,7427,0.8285522661949017,1
251,3793,0.8284310433258882,0
252,14745,0.8278950991956344,0
253,17213,0.8276150385797132,1
254,4161,0.8275510027031254,1
255,9800,0.8269295729183233,0
256,6159,0.826369755328616,0
257,11361,0.8263667236862942,0
258,2285,0.8259122668962967,0
259,11487,0.825890519384196,0
260,16814,0.8253025743868868,1
261,1623,0.82433378570917,0
262,10098,0.8240151757299838,1
263,16474,0.822962528490537,0
264,5512,0.8229093725141592,1
265,5075,0.822823824402956,0
266,11682,0.8216881521634174,0
267,17998,0.821613042169882,0
268,4927,0.819164392819917,1
269,1935,0.8179622095561451,0
270,8499,0.8172921420097768,0
271,14868,0.8166942066079375,0
272,13465,0.8164722674177517,1
273,3566,0.8163182664808784,0
274,10365,0.8159194964729607,0
275,12607,0.8155615476618459,1
276,13247,0.8154016315373166,0
277,9796,0.8148668697213582,0
278,13620,0.8142876135702691,0
279,3917,0.8142568798821582,0
280,5071,0.8135062016035612,1
281,14164,0.8133143298703837,0
282,12542,0.8128084375007503,0
283,3121,0.8126309507045951,1
284,12738,0.8114707885281666,1
285,14183,0.810468441968991,0
286,15154,0.8098261090268694,0
287,6270,0.8097773600026441,0
288,15554,0.8089459101423175,0
289,10786,0.8087644476368776,1
290,8165,0.808030188599188,0
291,11584,0.8072177286740063,1
292,13242,0.8072061279078248,1
293,17903,0.8066570571103155,1
294,17024,0.8065424548347796,0
295,3062,0.8062151297897385,0
296,9558,0.8061281131527438,1
297,14347,0.8060174964798049,1
298,14250,0.8052539296662394,0
299,7340,0.8051294000174627,1
300,11516,0.8036608700027413,0
301,13294,0.803225500074922,0
302,3508,0.802938967902496,1
303,15259,0.8017660927434918,0
304,14270,0.8016271009336817,1
305,5672,0.8013145802324997,1
306,14206,0.8012235214532631,0
307,11491,0.8011863221965453,0
308,12986,0.8007535637396852,0
309,7671,0.8002461229230852,0
310,8422,0.7999749697026891,0
311,5398,0.7995857340292505,1
312,3058,0.7988748817393561,0
313,223,0.798457021856536,0
314,137,0.798128036307771,0
315,17194,0.7980041995232843,1
316,14725,0.7979056738238496,0
317,14628,0.7975922284660661,1
318,16734,0.7973435144559848,0
319,2159,0.7970538209360382,0
320,4414,0.7965986279962738,0
321,18035,0.7940920475780545,0
322,11520,0.7926409631981626,0
323,5640,0.7916859659357052,0
324,12234,0.7916671831153304,0
325,14446,0.7916532819592187,0
326,14976,0.7902176398575509,0
327,17873,0.7895007005083388,0
328,15543,0.78949395733164,0
329,11642,0.7890271339952774,0
330,2281,0.7884579064104987,1
331,9930,0.7869733210781089,0
332,11492,0.786121956637716,0
333,17777,0.785853901064942,0
334,235,0.7853287484073779,1
335,8121,0.7851644363995199,1
336,4506,0.7848118938844109,0
337,6077,0.7839744898371539,0
338,15899,0.7819851844208225,0
339,15783,0.7817627805274279,1
340,3247,0.7806885345047858,1
341,10219,0.7798207495239088,0
342,7288,0.779024731543674,0
343,9684,0.7790153647953416,0
344,8064,0.7772530983253515,0
345,601,0.7767756377263009,1
346,16929,0.7762586509494637,1
347,15604,0.7755836575004155,0
348,9578,0.7751573352638028,0
349,14979,0.7750109274818632,0
350,1574,0.7748013047709814,0
351,14636,0.7730106164162721,0
352,3761,0.7723411130583339,1
353,6933,0.7718688239933394,1
354,13626,0.771498973905171,1
355,9766,0.7705701518574439,1
356,7289,0.7705338040695174,0
357,15155,0.7699411729985004,0
358,15153,0.769801825230499,0
359,14836,0.7697148698362906,0
360,14572,0.7696218874223638,0
361,1529,0.7694402135759666,0
362,14900,0.7689855497270561,0
363,760,0.7683330027465729,1
364,12836,0.7682830843285275,1
365,16004,0.7680595652830926,0
366,773,0.7671994397178478,0
367,1093,0.7663747472994588,0
368,15356,0.7661749075651291,0
369,12491,0.7659023848613778,0
370,6648,0.7654811131031731,1
371,15379,0.7643402043885439,1
372,2347,0.7637820990742143,1
373,14776,0.7632474940256221,1
374,3041,0.7628160542781536,0
375,164,0.7626071769300125,0
376,14641,0.7621532322403225,0
377,15984,0.7606956781136065,0
378,3181,0.7595637466587511,0
379,12840,0.7572450197596033,0
380,5547,0.7559431526809882,1
381,6306,0.7558354842734311,0
382,14518,0.754681622484335,0
383,15097,0.7546590230477911,0
384,16387,0.7544395880998354,0
385,5073,0.7541637483453709,0
386,6662,0.7536378889185285,0
387,9481,0.7515373928081596,1
388,17878,0.7510073676980626,0
389,4269,0.7496708412399774,0
390,5212,0.7495433289006506,0
391,16518,0.7490003861238697,0
392,9127,0.7480266145737469,0
393,11448,0.7479158755558765,0
394,9341,0.7477413077973002,1
395,3185,0.7475109132211295,0
396,895,0.7462706747989799,0
397,11556,0.7460205313590063,0
398,10429,0.7458196470951425,1
399,14625,0.7452510635214736,0
400,8706,0.7451541765883841,0
401,3184,0.7447745477133709,0
402,14594,0.7443216326590688,0
403,8396,0.7436965901227868,0
404,1735,0.7436196927897692,0
405,13500,0.7429026951726168,0
406,7668,0.7412306884287132,0
407,16439,0.7393118590527687,0
408,11399,0.7386401109861089,1
409,9734,0.7383472491152157,0
410,13248,0.7378915686123317,1
411,11227,0.737420126821354,1
412,3634,0.7373807790019883,1
413,10848,0.737313239402755,1
414,11749,0.7373040744877676,0
415,5435,0.7371118779149761,1
416,6532,0.7370527116694666,0
417,4416,0.736491098280953,0
418,15390,0.7362483278017471,0
419,14150,0.7358452327940034,0
420,16730,0.7354254080749788,0
421,5451,0.7352775139136121,0
422,6962,0.7332035916079971,0
423,3505,0.7330348934399223,1
424,6285,0.7327165119733006,0
425,17405,0.7325572933400918,1
426,6680,0.7324565788983162,1
427,3470,0.7323223655936001,0
428,15475,0.7300117453247593,0
429,15384,0.729329726334155,0
430,12662,0.7283668358318566,0
431,1732,0.7281293045458435,0
432,6551,0.7279280577370086,0
433,6171,0.7268660398209457,0
434,16800,0.7268075700637119,1
435,7783,0.7266964695159611,1
436,3024,0.7262409964845883,0
437,4030,0.7259717772803675,0
438,158,0.7259116411351958,0
439,1903,0.7247048115578215,0
440,7797,0.7235582669010592,0
441,236,0.7233286008508494,1
442,9079,0.7228934910549506,0
443,11617,0.7225283879665697,0
444,7971,0.722270796786259,0
445,6283,0.7222310382650511,0
446,14616,0.7213249671453479,0
447,15267,0.7212171828261541,0
448,14875,0.7203422710194273,0
449,13608,0.7202499632970575,0
450,6297,0.7188288347900574,1
451,11449,0.7185201121669798,0
452,11365,0.7161489925126456,0
453,7251,0.7158355301612309,1
454,5696,0.7158298981089409,1
455,11752,0.7151560089119066,0
456,3635,0.7137659566081385,1
457,5776,0.7127805191353341,0
458,10596,0.7127187081432593,1
459,15934,0.712378876146844,0
460,7153,0.712042090559929,1
461,11479,0.711505238455186,0
462,14698,0.7105206079696641,0
463,10388,0.7094061800511201,0
464,16272,0.7091289633322349,0
465,12600,0.7089519870028642,0
466,9183,0.7086735821525071,0
467,15360,0.7083140691587753,0
468,3493,0.708127220763026,1
469,16762,0.7081099728440258,0
470,3962,0.7058181548329179,0
471,17899,0.7055476683561615,0
472,5838,0.7050332778577202,1
473,6205,0.7048585028720075,0
474,16947,0.7046699565707393,0
475,7525,0.7043252058429735,0
